Title,Price,Date,City,Source
iPhone 11 Pro,6200.0,2022-01-01 00:00:00+00:00,casablanca,avito
Iphone 12 blanc 256gb,5800.0,2022-01-01 00:00:00+00:00,casablanca,avito
IPHONE 11 PRO,5750.0,2022-01-01 00:00:00+00:00,casablanca,avito
iPhone 11 64Go,5300.0,2022-01-01 00:00:00+00:00,casablanca,avito
Apple iPhone 11 64Go,6500.0,2022-01-01 00:00:00+00:00,casablanca,avito
iPhone 13,8800.0,2022-01-01 00:00:00+00:00,casablanca,avito
Iphone 11 pro max 512g en bonne état,7300.0,2022-01-01 00:00:00+00:00,casablanca,avito
iPhone 11 128Gb Officiel,5300.0,2022-01-02 00:00:00+00:00,casablanca,avito
iPhone 12 mini comme neuf,5700.0,2022-01-02 00:00:00+00:00,casablanca,avito
Iphone 11PRO 64GO,5600.0,2022-01-02 00:00:00+00:00,casablanca,avito
iPhone 12 Officiel 128gb,6900.0,2022-01-02 00:00:00+00:00,casablanca,avito
IPhone 11,5000.0,2022-01-02 00:00:00+00:00,casablanca,avito
iPhone 12 mini jamais utilisé,6400.0,2022-01-02 00:00:00+00:00,casablanca,avito
Iphone 12 pro max 128Gb,9600.0,2022-01-03 00:00:00+00:00,casablanca,avito
Iphone 12 pro max 128Gb,9600.0,2022-01-03 00:00:00+00:00,casablanca,avito
Iphone 12 pro max neuf,9700.0,2022-01-03 00:00:00+00:00,casablanca,avito
iPhone 11 pro max,7300.0,2022-01-03 00:00:00+00:00,casablanca,avito
Iphone 13 pro max /256 Go,8000.0,2022-01-03 00:00:00+00:00,casablanca,avito
Iphone 12 pro,8500.0,2022-01-04 00:00:00+00:00,casablanca,avito
iPhone 12 PRO 128GB Couleur Noir Black NEUF,9800.0,2022-01-04 00:00:00+00:00,casablanca,avito
iPhone 12 Bleu 64G official,6400.0,2022-01-04 00:00:00+00:00,casablanca,avito
Iphone 11 pro 256,6800.0,2022-01-04 00:00:00+00:00,casablanca,avito
iPhone 13 256 go,9600.0,2022-01-04 00:00:00+00:00,casablanca,avito
iphone 11 pro max eta 99,7400.0,2022-01-04 00:00:00+00:00,casablanca,avito
iPhone 11 pro max 256 gb,7200.0,2022-01-04 00:00:00+00:00,casablanca,avito
Iphone 12 pro 256go,8800.0,2022-01-05 00:00:00+00:00,casablanca,avito
iPhone 11 encore neuf batterie 100p100,5300.0,2022-01-05 00:00:00+00:00,casablanca,avito
IPHONE XS MAX,5000.0,2022-01-05 00:00:00+00:00,casablanca,avito
Vente iPhone XR,5000.0,2022-01-05 00:00:00+00:00,casablanca,avito
Iphone 11,5000.0,2022-01-05 00:00:00+00:00,casablanca,avito
Iphone 11 pro max,7700.0,2022-01-05 00:00:00+00:00,casablanca,avito
iphone 11 128gb,5000.0,2022-01-06 00:00:00+00:00,casablanca,avito
iPhone 13 mini 256 g,7500.0,2022-01-06 00:00:00+00:00,casablanca,avito
Iphone 12 pro max 256go bleu,9300.0,2022-01-06 00:00:00+00:00,casablanca,avito
iPhone 11 Noir 128GB,5200.0,2022-01-07 00:00:00+00:00,casablanca,avito
iPhone 11 Mauve et noir 128 GB,5000.0,2022-01-07 00:00:00+00:00,casablanca,avito
Iphone 11 pro 64Go,6100.0,2022-01-07 00:00:00+00:00,casablanca,avito
Iphone 11 / 128GB / 98,5900.0,2022-01-07 00:00:00+00:00,casablanca,avito
Iphone 12 Normal,6500.0,2022-01-07 00:00:00+00:00,casablanca,avito
iPhone 11 comme neuf 128Gb,5000.0,2022-01-08 00:00:00+00:00,casablanca,avito
iPhone 12 Pro 256,9000.0,2022-01-08 00:00:00+00:00,casablanca,avito
iphone 12 pro max 256,8200.0,2022-01-08 00:00:00+00:00,casablanca,avito
Iphone 11Pro,6000.0,2022-01-08 00:00:00+00:00,casablanca,avito
Iphone 12 mini à vendre,5300.0,2022-01-08 00:00:00+00:00,casablanca,avito
iPhone 11,5500.0,2022-01-08 00:00:00+00:00,casablanca,avito
iphone 11,5800.0,2022-01-08 00:00:00+00:00,casablanca,avito
iphone 11 pro max 64gb green,5500.0,2022-01-08 00:00:00+00:00,casablanca,avito
iPhone 12 rouge 64go,7000.0,2022-01-08 00:00:00+00:00,casablanca,avito
iPhone 12 rouge 64go,7000.0,2022-01-08 00:00:00+00:00,casablanca,avito
IPhone 11 pro,7500.0,2022-01-08 00:00:00+00:00,casablanca,avito
iPhone 11 Pro,5100.0,2022-01-09 00:00:00+00:00,casablanca,avito
Iphone 11 pro ( presque neuf ) 64go,6400.0,2022-01-09 00:00:00+00:00,casablanca,avito
iPhone 12 Pro Max 128g,9500.0,2022-01-09 00:00:00+00:00,casablanca,avito
iphone 12 64gb neuf,6500.0,2022-01-09 00:00:00+00:00,casablanca,avito
iphone xs max,5000.0,2022-01-09 00:00:00+00:00,casablanca,avito
Iphone 11 pro,6000.0,2022-01-09 00:00:00+00:00,casablanca,avito
IPhone 11 Pro Max 512go batterie 100,7800.0,2022-01-09 00:00:00+00:00,casablanca,avito
iphone 12 pro max 128go,6500.0,2022-01-09 00:00:00+00:00,casablanca,avito
iPhone 13 /128GB comme neuf,8500.0,2022-01-09 00:00:00+00:00,casablanca,avito
iphone 11 128,5700.0,2022-01-10 00:00:00+00:00,casablanca,avito
iPhone 11 Pro Max,7400.0,2022-01-10 00:00:00+00:00,casablanca,avito
IPhone 12 Pro 512 GB 100,9900.0,2022-01-10 00:00:00+00:00,casablanca,avito
iphone 11 128Gb 84,5000.0,2022-01-10 00:00:00+00:00,casablanca,avito
iPhone 12 Pro Max,8900.0,2022-01-10 00:00:00+00:00,casablanca,avito
iphone 11 pro max,6500.0,2022-01-10 00:00:00+00:00,casablanca,avito
iphone 12,8000.0,2022-01-10 00:00:00+00:00,casablanca,avito
Iphone 12 64go NEUf,7500.0,2022-01-11 00:00:00+00:00,casablanca,avito
iphone xs max 256gb,5100.0,2022-01-11 00:00:00+00:00,casablanca,avito
iphone 11 pro max 256gb,7300.0,2022-01-11 00:00:00+00:00,casablanca,avito
Iphone 12 Pro Max 256 Bleu Pacifique,9900.0,2022-01-11 00:00:00+00:00,casablanca,avito
iPhone 11 Pro Max 64GB,7300.0,2022-01-11 00:00:00+00:00,casablanca,avito
iPhone 11 Pro Max 256GB,7900.0,2022-01-11 00:00:00+00:00,casablanca,avito
iphone 13 256go,9999.0,2022-01-11 00:00:00+00:00,casablanca,avito
iPhone 12 mini vert,5500.0,2022-01-11 00:00:00+00:00,casablanca,avito
iphone 11,5200.0,2022-01-11 00:00:00+00:00,casablanca,avito
Iphone 11 Pro Max 256 Gb,8000.0,2022-01-11 00:00:00+00:00,casablanca,avito
iPhone 11,5000.0,2022-01-11 00:00:00+00:00,casablanca,avito
iPhone 11,5000.0,2022-01-11 00:00:00+00:00,casablanca,avito
iphone 12 officiel 128g,6700.0,2022-01-11 00:00:00+00:00,casablanca,avito
Iphone 11 pro tout accesoire,6000.0,2022-01-13 00:00:00+00:00,casablanca,avito
Iphone 11 pro,6000.0,2022-01-13 00:00:00+00:00,casablanca,avito
Iphone 11 pro,5800.0,2022-01-13 00:00:00+00:00,casablanca,avito
Iphone 13 mini 128go RED (NEUF),7600.0,2022-01-13 00:00:00+00:00,casablanca,avito
iPhone Xsmax,10000.0,2022-01-13 00:00:00+00:00,casablanca,avito
Iphone 11,5900.0,2022-01-13 00:00:00+00:00,casablanca,avito
iphone 11 pro max 256gb,7300.0,2022-01-13 00:00:00+00:00,casablanca,avito
iPhone 11 Pro 256 gb,6500.0,2022-01-13 00:00:00+00:00,casablanca,avito
iPhone 11 Pro Max 256Go,6900.0,2022-01-13 00:00:00+00:00,casablanca,avito
Iphone 12 mini neuf avec un an de garantie,7000.0,2022-01-13 00:00:00+00:00,casablanca,avito
IPhone 11 Pro Max 512 batterie 100,7500.0,2022-01-14 00:00:00+00:00,casablanca,avito
Iphone 12 Pro Max 256 gb,5100.0,2022-01-14 00:00:00+00:00,casablanca,avito
iPhone 11 PRO,5500.0,2022-01-14 00:00:00+00:00,casablanca,avito
iPhone 12 blanc 256Gb,7200.0,2022-01-14 00:00:00+00:00,casablanca,avito
iPhone 12 64Gb,6500.0,2022-01-14 00:00:00+00:00,casablanca,avito
Iphone 11 Pro Max 256 Gb,8000.0,2022-01-14 00:00:00+00:00,casablanca,avito
Iphone 11 pro 256,6000.0,2022-01-14 00:00:00+00:00,casablanca,avito
iPhone 11 Noir et Rouge 128GB,5000.0,2022-01-15 00:00:00+00:00,casablanca,avito
IPhone 12 normal 128go,6300.0,2022-01-15 00:00:00+00:00,casablanca,avito
IPHONE 11 PRO MAX,5500.0,2022-01-15 00:00:00+00:00,casablanca,avito
iPhone 11 Pro Max 64GB,7300.0,2022-01-15 00:00:00+00:00,casablanca,avito
iPhone 11 Pro Max 512GB,8400.0,2022-01-15 00:00:00+00:00,casablanca,avito
Apple Iphone 11,5100.0,2022-01-15 00:00:00+00:00,casablanca,avito
Iphone 11 64go mauve,5200.0,2022-01-15 00:00:00+00:00,casablanca,avito
iphone 13 256go,9999.0,2022-01-15 00:00:00+00:00,casablanca,avito
Iphone 11,5200.0,2022-01-15 00:00:00+00:00,casablanca,avito
IPhone 11 Pro max,7500.0,2022-01-15 00:00:00+00:00,casablanca,avito
iphone 13,9700.0,2022-01-15 00:00:00+00:00,casablanca,avito
