1959,iphone 8 plus,2500,Rabat,2021-02-01 00:00:00,iphone 8 plus,avito,01 Février,
1960,iPhone 6 plus,1500,Marrakech,2021-05-13 00:00:00,iphone 6 plus,avito,13 Mai,
1961,iPhone XR,5100,Bouskoura,2021-06-08 00:00:00,iphone xr,avito,08 Juin,
1962,iPhone 6s Plus,1400,Tanger,2021-08-24 00:00:00,iphone 6s plus,avito,24 Août,
1963,iPhone 7 32Gb,1500,Oujda,2021-09-04 00:00:00,iphone 7,avito,04 Septembre,
1964,IPhone 8,2500,Marrakech,2021-10-05 00:00:00,iphone 8,avito,05 Octobre,
1965,IPHONE 8 PLUS,3799,Casablanca,2021-11-12 00:00:00,iphone 8 plus,avito,12 Novembre,
1966,iPhone 12,9000,Rabat,2021-11-15 00:00:00,iphone 12,avito,15 Novembre,
1967,Iphone 7 plus,3700,Rabat,2021-12-05 00:00:00,iphone 7 plus,avito,05 Décembre,
1968,iphone 6,1650,Casablanca,2021-12-07 00:00:00,iphone 6,avito,07 Décembre,
1969,iPhone 7 128 gb,1350,Agadir,2021-12-10 00:00:00,iphone 7,avito,10 Décembre,
1970,Iphone 11 neuf,5000,El Jadida,2021-12-12 00:00:00,iphone 11,avito,12 Décembre,
1971,Iphone 7 officiel neuf,1400,Rabat,2021-12-21 00:00:00,iphone 7,avito,21 Décembre,
1972,iPhone 8,2500,Oujda,2021-12-21 00:00:00,iphone 8,avito,21 Décembre,
1973,Iphone 12 pro max 256 GB,11600,Rabat,2021-12-21 00:00:00,iphone 12 pro max,avito,21 Décembre,
1974,Iphone 4s tres bon,400,Meknès,2021-12-23 00:00:00,iphone 4s,avito,23 Décembre,
1975,Iphone 7 normal,2200,Kénitra,2021-12-26 00:00:00,iphone 7,avito,26 Décembre,
1976,Iphone X 256g,4800,Marrakech,2021-12-31 00:00:00,iphone x,avito,31 Décembre,
1977,iphone 6 s,1300,Casablanca,2022-01-02 00:00:00,iphone 6,avito,02 Janvier,
1978,iPhone X 64 go officiel,3900,Casablanca,2022-01-05 00:00:00,iphone x,avito,05 Janvier,
1979,Iphone 7 plus,2900,Meknès,2022-01-10 00:00:00,iphone 7 plus,avito,10 Janvier,
1980,iPhone 6s. 16G.,650,Rabat,2022-01-10 00:00:00,iphone 6s,avito,10 Janvier,
1981,Iphone 8 plus prix fix,3400,Fès,2022-01-10 00:00:00,iphone 8 plus,avito,10 Janvier,
1982,IPhone 7 Plus,2800,Meknès,2022-01-11 00:00:00,iphone 7 plus,avito,11 Janvier,
1983,Iphone xsmax gold,4900,Berrechid,2021-01-14 00:00:00,iphone xs,avito,14 Janvier,
1984,Iphone 7 plus bonne état,3000,Marrakech,2021-01-14 00:00:00,iphone 7 plus,avito,14 Janvier,
1985,iPhone 11 pro 64g,8800,Casablanca,2021-01-15 00:00:00,iphone 11 pro,avito,15 Janvier,
1986,Iphone 6,750,Casablanca,2021-01-29 00:00:00,iphone 6,avito,29 Janvier,
1987,Iphone 12 pro max 256 go NEUF,12000,Tétouan,2021-01-31 00:00:00,iphone 12 pro max,avito,31 Janvier,
1988,iPhone 11 Pro max,8500,Marrakech,2021-02-02 00:00:00,iphone 11 pro max,avito,02 Février,
1989,Iphone 8 64G,1350,Rabat,2021-02-04 00:00:00,iphone 8,avito,04 Février,
1990,iPhone 11 blanc,7000,Casablanca,2021-02-09 00:00:00,iphone 11,avito,09 Février,
1991,iphone x 256 G,4500,Salé,2021-02-09 00:00:00,iphone x,avito,09 Février,
1992,IPHONE XSMAX,6000,Rabat,2021-02-13 00:00:00,iphone xs,avito,13 Février,
1993,iPhone 11 nourmal 128G,6800,Casablanca,2021-02-18 00:00:00,iphone 11,avito,18 Février,
1994,iphone 8 comme neuf,2300,El Jadida,2021-02-18 00:00:00,iphone 8,avito,18 Février,
1995,Iphone 7 128Go,1300,Casablanca,2021-02-18 00:00:00,iphone 7,avito,18 Février,
1996,Iphone 6 16gb,550,Meknès,2021-02-25 00:00:00,iphone 6,avito,25 Février,
1997,iphone 11,4950,Marrakech,2021-02-27 00:00:00,iphone 11,avito,27 Février,
1998,iPhone XS Max 64G,4300,Tanger,2021-03-02 00:00:00,iphone xs max,avito,02 Mars,
1999,Iphone 7 officiel,1600,Casablanca,2021-03-02 00:00:00,iphone 7,avito,02 Mars,
2000,Iphone Xs 64go,3500,Casablanca,2021-03-03 00:00:00,iphone xs,avito,03 Mars,
2001,Iphone 12 Pro max 512 new f mika,15800,Taza,2021-03-03 00:00:00,iphone 12 pro max,avito,03 Mars,
2002,Iphone X,2900,Kénitra,2021-03-05 00:00:00,iphone x,avito,05 Mars,
2003,Iphone 7 plus rouge,2800,Casablanca,2021-03-07 00:00:00,iphone 7 plus,avito,07 Mars,
2004,Iphone 6s PRESQUE NEUF 16 GO 87BAT,1000,Rabat,2021-03-08 00:00:00,iphone 6s,avito,08 Mars,
2005,New iphone 12 pro max 256 Gb,13700,Taza,2021-03-11 00:00:00,iphone 12 pro max,avito,11 Mars,
2006,iPhone 12 Pro 256GB Graphite,11000,Meknès,2021-03-11 00:00:00,iphone 12 pro,avito,11 Mars,
2007,iPhone 11 64 gb,6500,Marrakech,2021-03-18 00:00:00,iphone 11,avito,18 Mars,
2008,IPhone 6 Plus,800,Fès,2021-03-18 00:00:00,iphone 6 plus,avito,18 Mars,
2009,Iphone Xs maX turbo sim,4100,Agadir Melloul,2021-03-21 00:00:00,iphone xs max,avito,21 Mars,
2010,iphone 7 128Go,1900,Meknès,2021-03-22 00:00:00,iphone 7,avito,22 Mars,
2011,iphone 11 pro,6500,Taza,2021-03-23 00:00:00,iphone 11 pro,avito,23 Mars,
2012,iPhone 11 rouge jdid 5dam 2jour,7500,Dakhla,2021-03-24 00:00:00,iphone 11,avito,24 Mars,
2013,iPhone 11 rouge jdid 5dam 2jour,7500,Dakhla,2021-03-24 00:00:00,iphone 11,avito,24 Mars,
2014,IPhone XS Max,5000,Casablanca,2021-03-24 00:00:00,iphone xs max,avito,24 Mars,
2015,iPhone 11 Pro,6500,Fès,2021-03-29 00:00:00,iphone 11 pro,avito,29 Mars,
2016,iPhone X 64Go,4200,Meknès,2021-03-29 00:00:00,iphone x,avito,29 Mars,
2017,Iphone 6s 32go,1100,Oued Zem,2021-03-31 00:00:00,iphone 6s,avito,31 Mars,
2018,Iphone 11 128gb,5800,Casablanca,2021-04-02 00:00:00,iphone 11,avito,02 Avril,
2019,Iphone 8 plus,3200,Casablanca,2021-04-02 00:00:00,iphone 8 plus,avito,02 Avril,
2020,Iphone 7 plus,2300,Casablanca,2021-04-03 00:00:00,iphone 7 plus,avito,03 Avril,
2021,Iphone 7 plus,2500,Béni Mellal,2021-04-05 00:00:00,iphone 7 plus,avito,05 Avril,
2022,iPhone 8 Plus,3800,Meknès,2021-04-06 00:00:00,iphone 8 plus,avito,06 Avril,
2023,iPhone 8 64go,2700,Meknès,2021-04-06 00:00:00,iphone 8,avito,06 Avril,
2024,iPhone 8 64go 100,2800,Meknès,2021-04-06 00:00:00,iphone 8,avito,06 Avril,
2025,Iphone 7 128Go Red Product,1850,Marrakech,2021-04-07 00:00:00,iphone 7,avito,07 Avril,
2026,iPhone XR 64go batri 92,4200,Meknès,2021-04-08 00:00:00,iphone xr,avito,08 Avril,
2027,iPhone 11,6100,Meknès,2021-04-08 00:00:00,iphone 11,avito,08 Avril,
2028,iPhone XR,4200,Meknès,2021-04-08 00:00:00,iphone xr,avito,08 Avril,
2029,iPhone 8 Plus,3200,Mohammedia,2021-04-09 00:00:00,iphone 8 plus,avito,09 Avril,
2030,IPHONE XS 256g,3900,Casablanca,2021-04-12 00:00:00,iphone xs,avito,12 Avril,
2031,iPhone 11 pro max 64gb,8400,Rabat,2021-04-13 00:00:00,iphone 11 pro max,avito,13 Avril,
2032,iPhone 12 pro,10200,Casablanca,2021-04-13 00:00:00,iphone 12 pro,avito,13 Avril,
2033,iPhone XS Max,4800,El Jadida,2021-04-14 00:00:00,iphone xs max,avito,14 Avril,
2034,Iphone 11,5800,Tanger,2021-04-16 00:00:00,iphone 11,avito,16 Avril,
2035,iphone 7 plus officiel,2000,Casablanca,2021-04-19 00:00:00,iphone 7 plus,avito,19 Avril,
2036,iPhone 8 Plus 256,4500,Casablanca,2021-04-21 00:00:00,iphone 8 plus,avito,21 Avril,
2037,Iphone 7 plus 128 go,2500,Casablanca,2021-04-21 00:00:00,iphone 7 plus,avito,21 Avril,
2038,Iphone 5s,600,Tanger,2021-04-21 00:00:00,iphone 5s,avito,21 Avril,
2039,IPhone XR en très bon état,3900,Nador,2021-04-22 00:00:00,iphone xr,avito,22 Avril,
2040,iphone 11 pro max 64Go,7600,Meknès,2021-04-22 00:00:00,iphone 11 pro max,avito,22 Avril,
2041,iPhone 8 plus Noir,3100,Agadir,2021-04-23 00:00:00,iphone 8 plus,avito,23 Avril,
2042,Iphone 5s,300,Inzegan,2021-04-25 00:00:00,iphone 5s,avito,25 Avril,
2043,iPhone 12 Pro Max,11000,Agadir,2021-04-26 00:00:00,iphone 12 pro max,avito,26 Avril,
2044,iPhone 12 Pro Max,11000,Agadir,2021-04-26 00:00:00,iphone 12 pro max,avito,26 Avril,
2045,Iphone 7 gold 128 gb,1200,Rabat,2021-04-26 00:00:00,iphone 7,avito,26 Avril,
2046,Iphone xs max,5000,Salé,2021-04-26 00:00:00,iphone xs max,avito,26 Avril,
